Ngày quyết định,Số quyết định,Mã TTHC,Tên thủ tục,Lĩnh vực,Loại thay đổi,Chi tiết thay đổi,Cấp/thẩm quyền,Ngày hiệu lực,Trạng thái canonical,URL bài công bố,URL file quyết định,SHA-256,Ghi chú nguồn
2026-08-30,3500/QĐ-UBND,1.013337,"Đăng ký công bố hợp quy đối với các sản phẩm, hàng hóa được quản lý bởi các quy chuẩn kỹ thuật quốc gia do Bộ Lao động - Thương binh và Xã hội ban hành - Nghị định số 22/2026/NĐ -CP ngày 16/01/2026 của Chính phủ; - Thông tư số 14/2026/TT -BKHCN ngày",NỘI VỤ,repealed,Bãi bỏ,province,,repealed,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3500-qd-ubnd-ngay-30-8-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958426,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3500-nv639240495312924587.pdf,25f70374fdb8dd7b03b2f5aee14cd74b5cb09daa2f08e3ed3779c748e6214421,"nhập khẩu Nghị định số 37/2026/NĐ -CP ngày 23/01/2026 của Chính phủ 2. 1.013337 Đăng ký công bố hợp quy đối với các sản phẩm, hàng hóa được quản lý bởi các quy chuẩn kỹ thuật quốc gia do Bộ Lao động - Thương binh và Xã hội ban hành - Nghị định số 22/2026/NĐ -CP ngày 16/01/2026 của Chính phủ; - Thông tư số 14/2026/TT -BKHCN ngày 09/4/2026 của B ộ trưởng Bộ Khoa học và Công nghệ THỦ TỤC HÀNH CHÍNH DÙNG CHUNG (CẤP BỘ, CẤP TỈNH, CẤP XÃ) LĨNH VỰC CÔNG CHỨC 1. 1.014116 Thủ tục tiếp nhận vào công chức "
2026-08-30,3500/QĐ-UBND,1.013723,Thủ tục kiểm tra nhà nước về chất lượng hàng hóa hàng hóa nhóm 2 nhập khẩu Nghị định số 37/2026/NĐ -CP ngày 23/01/2026 của Chính phủ,NỘI VỤ,repealed,Bãi bỏ,province,,repealed,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3500-qd-ubnd-ngay-30-8-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958426,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3500-nv639240495312924587.pdf,25f70374fdb8dd7b03b2f5aee14cd74b5cb09daa2f08e3ed3779c748e6214421,"TTHC Tên thủ tục hành chính Tên VB QPPL quy định việc bãi bỏ TTHC THỦ TỤC HÀNH CHÍNH CẤP TỈNH LĨNH VỰC AN TOÀN, VỆ SINH LAO ĐỘNG 1. 1.013723 Thủ tục kiểm tra nhà nước về chất lượng hàng hóa hàng hóa nhóm 2 nhập khẩu Nghị định số 37/2026/NĐ -CP ngày 23/01/2026 của Chính phủ 2. 1.013337 Đăng ký công bố hợp quy đối với các sản phẩm, hàng hóa được quản lý bởi các quy chuẩn kỹ thuật quốc gia do Bộ Lao động - Thương binh và Xã hội ban hành - Nghị định số 22/2026/NĐ -CP ngày 16/01/2026 của Chính phủ; -"
2026-08-30,3500/QĐ-UBND,1.014111,Thủ tục thi tuyển công chức,NỘI VỤ,reduced,Có bằng chứng trong phụ lục về nội dung sau cắt giảm,shared_including_commune,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3500-qd-ubnd-ngay-30-8-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958426,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3500-nv639240495312924587.pdf,25f70374fdb8dd7b03b2f5aee14cd74b5cb09daa2f08e3ed3779c748e6214421,"Theo quy định Sau cắt giảm THỦ TỤC HÀNH CHÍNH DÙNG CHUNG (CẤP BỘ, CẤP TỈNH, CẤP XÃ) LĨNH VỰC CÔNG CHỨC 1. 1.014111 Thủ tục thi tuyển công chức Tối đa 140 ngày kể từ ngày hết thời hạn nhận Phiếu đăng ký dự tuyển cho đến khi người đứng đầu cơ quan có thẩm quyền tuyển dụng ra quyết định tuyển dụng và gửi tới người trúng tuyển (theo Nghị định) Tối đa 70 ngày"
2026-08-30,3500/QĐ-UBND,1.014113,Thủ tục xét tuyển công chức,NỘI VỤ,modified,Sửa đổi/bổ sung,shared_including_commune,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3500-qd-ubnd-ngay-30-8-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958426,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3500-nv639240495312924587.pdf,25f70374fdb8dd7b03b2f5aee14cd74b5cb09daa2f08e3ed3779c748e6214421,"dụng phí tuyển dụng, dự thi nâng ngạch, thăng hạng viên chức, viên chức. 2. 1.014113 Thủ tục xét tuyển công chức Tối đa 75 ngày kể từ ngày hết thời hạn nhận Phiếu đăng ký dự tuyển đến khi người đứng đầu cơ quan có thẩm quyền tuyển dụng ra quyết định tuyển dụng và gửi tới người trúng tuyển (theo Nghị định). Tối đa 38 ngày"
2026-08-30,3500/QĐ-UBND,1.014116,"Thủ tục tiếp nhận vào công chức không giữ chức vụ lãnh đạo, quản lý Nghị định số 300/2026/NĐ-CP ngày 29 tháng",NỘI VỤ,repealed,Bãi bỏ,shared_including_commune,,repealed,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3500-qd-ubnd-ngay-30-8-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958426,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3500-nv639240495312924587.pdf,25f70374fdb8dd7b03b2f5aee14cd74b5cb09daa2f08e3ed3779c748e6214421,"Công nghệ THỦ TỤC HÀNH CHÍNH DÙNG CHUNG (CẤP BỘ, CẤP TỈNH, CẤP XÃ) LĨNH VỰC CÔNG CHỨC 1. 1.014116 Thủ tục tiếp nhận vào công chức không giữ chức vụ lãnh đạo, quản lý Nghị định số 300/2026/NĐ-CP ngày 29 tháng 7 năm 2026 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 170/2025/NĐ - CP ngày 30 tháng 6 năm 2025 của Chính phủ quy định về tuyển dụng, sử dụng và quản lý công chức."
2026-08-30,3500/QĐ-UBND,1.116316,Kiểm tra chất lượng hàng hóa nhập khẩu có mức độ rủi ro cao thuộc trách nhiệm quản lý nhà nước của Bộ Nội vụ tại Danh mục ban hành kèm theo Thông tư số 16/2026/TT- BNV,NỘI VỤ,new,Ban hành mới,province,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3500-qd-ubnd-ngay-30-8-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958426,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3500-nv639240495312924587.pdf,25f70374fdb8dd7b03b2f5aee14cd74b5cb09daa2f08e3ed3779c748e6214421,"Theo quy định Sau cắt giảm THỦ TỤC HÀNH CHÍNH CẤP TỈNH LĨNH VỰC AN TOÀN, VỆ SINH LAO ĐỘNG 1. 1.116316 Kiểm tra chất lượng hàng hóa nhập khẩu có mức độ rủi ro cao thuộc trách nhiệm quản lý nhà nước của Bộ Nội vụ tại Danh mục ban hành kèm theo Thông tư số 16/2026/TT- BNV 01 ngày làm việc kể từ ngày hồ sơ đầy đủ, hợp lệ 01 ngày làm"
2026-09-01,3501/QĐ-UBND,1.013860,Cấp gi ấy chứng nhận bị phơi nhi ễm với HIV do tai nạn r ủi ro nghề nghiệp,PHÒNG BỆNH,reduced,Có bằng chứng trong phụ lục về nội dung sau cắt giảm,province,2027-03-01,future_effective,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3501-qd-ubnd-ngay-01-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958422,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3501-yt639240494398182291.pdf,b8ed93fa8f53bb1a902973651f5323a6f7ca0163e164f72ef89ce13b30f88d12,"Sau cắt giảm THỦ TỤC HÀNH CHÍNH CẤP TỈNH (02 TTHC) 1. 1.013860 Cấp gi ấy chứng nhận bị phơi nhi ễm với HIV do tai nạn r ủi ro nghề nghiệp 03 ngày làm việc kể từ ngày ghi trên phi ếu tiếp nh ận hồ sơ 2,5 ngày làm việc kể từ ngày ghi trên phiếu tiếp nhận hồ sơ"
2026-09-01,3501/QĐ-UBND,1.013864,Cấp gi ấy chứng nhận bị phơi nhi ễm với HIV do tai nạn r ủi ro nghề nghiệp,PHÒNG BỆNH,modified,Sửa đổi/bổ sung,province,2027-03-01,future_effective,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3501-qd-ubnd-ngay-01-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958422,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3501-yt639240494398182291.pdf,b8ed93fa8f53bb1a902973651f5323a6f7ca0163e164f72ef89ce13b30f88d12,"nạn rủi ro nghề nghiệp. - Thông tư số 02/2026/TTBYT ngày 05/02/2026 của Bộ trưởng Bộ Y tế 2. 1.013864 Cấp gi ấy chứng nhận bị phơi nhi ễm với HIV do tai nạn r ủi ro nghề nghiệp 03 ngày làm việc kể từ ngày ghi trên phi ếu tiếp nh ận hồ sơ 2,5 ngày làm việc kể từ ngày ghi trên phi ếu tiếp nh ận hồ sơ"
2026-09-03,3508/QĐ-UBND,1.000302,"Cấp, c ấp l ại Giấy phép v ận tải đư ờng b ộ",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 20 1.000302 Cấp, c ấp l ại Giấy phép v ận tải đư ờng b ộ 01 ngày làm việc kể từ ngày Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công Không quy định - Nghị định s ố 158/2024/NĐ-CP ngày 18/12/2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ;"
2026-09-03,3508/QĐ-UBND,1.000321,"Đăng ký khai thác tuy ến, b ổ",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 23 1.000321 Đăng ký khai thác tuy ến, b ổ 01 ngày làm việc kể Không thực hi ện - Trung tâm Phục v ụ hành Không quy định - Nghị định s ố 158/2024/NĐ-CP ngày 18/12/2024 c ủa Chính ph ủ quy"
